#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"distinguishedName","GroupCategory","GroupScope","name","objectClass","objectGUID","SamAccountName","SID"
"CN=Domain Users,CN=Users,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","Domain Users","group","db8eb22a-70cb-4c68-b3dc-ab2cda418034","Domain Users","S-1-5-21-1064954374-356710528-997385118-513"
"CN=Help Desk,OU=Microsoft Exchange Security Groups,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Help Desk","group","5e9475f1-b966-4484-82bd-348a4f4ebe0a","Help Desk","S-1-5-21-1064954374-356710528-997385118-107088"
"CN=EdgeCitrix-ADUC,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EdgeCitrix-ADUC","group","f35a82af-2927-4db0-82c4-eae63848242f","EdgeCitrix-ADUC","S-1-5-21-1064954374-356710528-997385118-19075"
"CN=BR-EnterpriseDEAdmins,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-EnterpriseDEAdmins","group","7fda52d8-9935-4661-b4e7-fe855e2d17a7","BR-EnterpriseDEAdmins","S-1-5-21-1064954374-356710528-997385118-14481"
"CN=EdgeXen-ExchangeMGMT2007,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EdgeXen-ExchangeMGMT2007","group","e768a98c-293b-407e-be12-c19dc20d612e","EdgeXen-ExchangeMGMT2007","S-1-5-21-1064954374-356710528-997385118-67149"
"CN=Helpdesk OPs (Hyd),OU=HBAD Exchange,OU=HBAD,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Helpdesk OPs (Hyd)","group","12eef6ca-07bb-4688-8ba7-caa54a161181","Helpdesk OPs (Hyd)","S-1-5-21-1064954374-356710528-997385118-65789"
"CN=ADDS-ReadDCSecurityLogs,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","ADDS-ReadDCSecurityLogs","group","0d28548a-119d-4d90-864d-330c5aa29e42","ADDS-ReadDCSecurityLogs","S-1-5-21-1064954374-356710528-997385118-37456"
"CN=ADDS-PasswordReset,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","ADDS-PasswordReset","group","4d5d0a82-4b6c-4edd-8a2a-32bc45a17fde","ADDS-PasswordReset","S-1-5-21-1064954374-356710528-997385118-113828"
"CN=EdgeCitrix-ProductionVsphere,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EdgeCitrix-ProductionVsphere","group","91fe5a48-b3f2-4ac5-82c3-d7ffd1432c4b","EdgeCitrix-ProductionVsphere","S-1-5-21-1064954374-356710528-997385118-114785"
"CN=EdgeCitrix-Production RDP,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EdgeCitrix-Production RDP","group","b62fc912-1474-4048-be31-9f5918f2b707","EdgeCitrix-Production RDP","S-1-5-21-1064954374-356710528-997385118-111941"
"CN=EdgeCitrix-Production Firefox,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EdgeCitrix-Production Firefox","group","5a984f53-51a4-4d23-9df5-4d4d3c11ca87","EdgeCitrix-Production Firefox","S-1-5-21-1064954374-356710528-997385118-113947"
"CN=EdgeCitrix-Production Chrome TS,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","EdgeCitrix-Production Chrome TS","group","0e43eb0d-cfad-4d3b-8118-c2606b6c6959","EdgeCitrix-Production Chrome TS","S-1-5-21-1064954374-356710528-997385118-113910"
"CN=BR-Tier2PasswordPolicy,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","BR-Tier2PasswordPolicy","group","878de469-8016-40ec-b243-2d082d6212f4","BR-Tier2PasswordPolicy","S-1-5-21-1064954374-356710528-997385118-116276"
"CN=ADDS-ReadDeletedObjects,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","ADDS-ReadDeletedObjects","group","2a779b6a-7c91-4185-8830-20b47ffad4a1","ADDS-ReadDeletedObjects","S-1-5-21-1064954374-356710528-997385118-125134"
"CN=HBIPVWDRSFA3-Facilities(Bangalore)-rw,OU=CORP Varonis Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","HBIPVWDRSFA3-Facilities(Bangalore)-rw","group","6f6ba89b-0e2e-4c96-9de6-6617062aafc7","HBIPVWDRSFA3-Facilities(Bangalore)-rw","S-1-5-21-1064954374-356710528-997385118-142131"
"CN=ADDS-FullControlWorkstations,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","ADDS-FullControlWorkstations","group","5b843eaa-0b6e-4127-9025-1e3d3a5b6f79","ADDS-FullControlWorkstations","S-1-5-21-1064954374-356710528-997385118-111985"
"CN=ADDS-CreateWorkstation,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","ADDS-CreateWorkstation","group","3e4c7f2c-845f-4dfe-b36d-6c5c19a0a059","ADDS-CreateWorkstation","S-1-5-21-1064954374-356710528-997385118-111983"
"CN=ADDS-DeleteWorkstation,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","ADDS-DeleteWorkstation","group","94da6754-4998-4495-b378-d0165350a9f6","ADDS-DeleteWorkstation","S-1-5-21-1064954374-356710528-997385118-111984"
"CN=ADDS-CreateContact,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","ADDS-CreateContact","group","0e0ab920-eb3b-46d5-87e5-1899383bc713","ADDS-CreateContact","S-1-5-21-1064954374-356710528-997385118-111996"
"CN=ADDS-CreateGroup,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","ADDS-CreateGroup","group","01997f66-ad34-4b8f-aa52-dc1bd4a79862","ADDS-CreateGroup","S-1-5-21-1064954374-356710528-997385118-111992"
