#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"distinguishedName","GroupCategory","GroupScope","name","objectClass","objectGUID","SamAccountName","SID"
"CN=Domain Users,CN=Users,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","Domain Users","group","db8eb22a-70cb-4c68-b3dc-ab2cda418034","Domain Users","S-1-5-21-1064954374-356710528-997385118-513"
"CN=BR-ISE-VPN-GLOBAL,OU=CORP Groups,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-ISE-VPN-GLOBAL","group","e186c975-3165-44ba-99dd-7b9b9a11900e","BR-ISE-VPN-GLOBAL","S-1-5-21-1064954374-356710528-997385118-191550"
"CN=ALL_Leader1_John Hogan Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader1_John Hogan Org_GBS","group","37de73df-717c-4068-88ce-f7d616ebcf2a","ALL_Leader1_John Hogan Org_GBS","S-1-5-21-1064954374-356710528-997385118-185411"
"CN=ALL_Leader2_Laxmikanth Venkatraman Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader2_Laxmikanth Venkatraman Org_GBS","group","64c8f7a7-6f08-470c-a740-0be3164e39c6","ALL_Leader2_Laxmikanth Venkatraman Org_GBS","S-1-5-21-1064954374-356710528-997385118-183511"
"CN=BR-Office365FullUserLicenseGroup,OU=EDGE Exchange,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","BR-Office365FullUserLicenseGroup","group","390bac0a-0938-4c62-b108-42498e672772","BR-Office365FullUserLicenseGroup","S-1-5-21-1064954374-356710528-997385118-194354"
"CN=ALL_Leader0_Tim Gokey Org_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader0_Tim Gokey Org_GBS","group","2f9ee0ef-56e1-4229-9c70-204a0fc6553c","ALL_Leader0_Tim Gokey Org_GBS","S-1-5-21-1064954374-356710528-997385118-200389"
"CN=ALL_Jenkins_DevOps_Access List_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","DomainLocal","ALL_Jenkins_DevOps_Access List_GBS","group","559c6a10-1e57-4b06-9021-f4b83a11e171","ALL_Jenkins_DevOps_Access List_GBS","S-1-5-21-1064954374-356710528-997385118-200992"
"CN=ALL_Leader0_Tim Gokey Org_Associates Only_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","ALL_Leader0_Tim Gokey Org_Associates Only_GBS","group","5591ee82-63c5-47e8-843a-491b447a8961","ALL_Leader0_Tim Gokey Org_Associates Only_GBS","S-1-5-21-1064954374-356710528-997385118-210711"
"CN=Splunk-aws-unicorn-trading,OU=CORP Splunk and Vault,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Splunk-aws-unicorn-trading","group","e229b5dd-745d-42c3-a60b-c37460b271c3","Splunk-aws-unicorn-trading","S-1-5-21-1064954374-356710528-997385118-213946"
"CN=Splunk-gto-tcor,OU=CORP Splunk and Vault,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Splunk-gto-tcor","group","d7ae73f6-4c0e-437c-86ff-7f8e79dff13b","Splunk-gto-tcor","S-1-5-21-1064954374-356710528-997385118-243879"
"CN=Vijay Mayadas CapitalMarkets_ListD_GBS,OU=CORP Exchange,OU=CORP,DC=bsg,DC=ad,DC=adp,DC=com","Distribution","Universal","Vijay Mayadas CapitalMarkets_ListD_GBS","group","ad4e64be-16bb-49e4-9768-a15cae6b29fc","Vijay Mayadas CapitalMarkets_ListD_GBS","S-1-5-21-1064954374-356710528-997385118-247456"
